"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage"
168,16,10,16.2831643285285,3.53876040860272,75.4232527554454,3.04135781120012,1.71346469622332
168,16,50,16.6189000409752,5.96115466672366,68.774038668093,6.36070834676725,2.18519827744084
168,16,100,17.1120814662171,5.97906729373454,66.0867285669744,6.86642011757943,3.95570255549449
168,16,150,13.3586595229099,7.17738964318748,64.1319112721988,12.4521368878623,2.81508785902666
168,16,200,12.7708496108855,9.69062539730857,54.143082571228,21.7765371494954,1.6189052710825
270,16,10,15.7580055975166,5.66796458230215,63.2404148188818,12.1636803607766,3.16993464052288
270,16,50,15.9955631867233,5.91313804873453,69.1874680063746,5.97826667667234,2.86674055208343
270,16,100,16.8802811355665,6.45161304831655,64.0911705260953,9.22884585833167,3.28926590227815
270,16,150,11.9432465663645,10.1802062790758,49.7179758515108,26.4008099323025,1.7577613707464
270,16,200,14.9352923008353,8.1975365941144,58.2610662654833,17.2721711843286,1.33393365523844
500,16,10,23.5697153358411,3.82626262626263,67.0504939016095,2.48754208754209,3.06598604874467
500,16,50,19.38494867034,2.85825167757429,73.8222874100348,1.72660174520132,2.20791049684956
500,16,100,18.6501621209494,4.00963382057114,70.9376873460898,3.46980008971048,2.9327166226792
500,16,150,1.54400294384629,21.148771370703,5.56392884129524,71.1146057689273,0.628691075228221
500,16,200,0.352962737590465,21.337606778674,1.88185479713079,76.0843137055777,0.34326198102698
900,16,10,22.1095636441381,1.35106382978723,73.8289664459877,0.25,2.46040608008693
900,16,50,24.3441885178671,2.40539396797611,70.8292523072246,0.966117587043745,1.4062671320835
900,16,100,22.7894744323669,3.62897253797225,69.5035248142819,2.79167757835984,1.24788909855759
900,16,150,23.588076157327,3.99967369863692,68.453300748798,2.81093157755688,1.1341289287923
900,16,200,22.222712302978,4.07500783904821,68.1654367156878,4.51380722170044,1.02303592058546
1500,16,10,26.0827156526163,0.716447149778734,71.856203089813,0,1.344634107792
1500,16,50,27.9256454695352,1.46155285113205,68.8830287015089,0.380751722072477,1.34902125575132
1500,16,100,25.9119535847037,3.43516129345852,66.4547342379362,2.6889207571773,1.50923012672426
1500,16,150,26.504248410562,2.98105632044327,68.0508925865565,1.10232483069555,1.36147785174276
1500,16,200,1.82989967301979,25.5114745744307,4.54390522682448,67.8051526916681,0.309567834056954
