"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage"
168,16,10,15.8664976618618,6.24229343471639,72.1494432316359,4.02830097556264,1.71346469622332
168,16,50,18.2112016102483,5.67119817484474,69.4446644897287,4.32748103748104,2.18519827744084
168,16,100,18.6737085479709,4.9952858486352,68.5501266451831,3.74069767433849,4.04018128387223
168,16,150,14.9646583290535,6.63499040718604,68.4207996423242,6.51534451230312,3.46420710913311
168,16,200,16.5152763181326,6.93278920910223,65.2661606373977,8.65072998724369,2.63504384812384
270,16,10,16.5028331837235,6.69210084957923,63.729519426242,9.90561189993239,3.16993464052288
270,16,50,18.0843533096438,4.22648942757597,72.2424196349237,2.26054448535267,3.18619314250376
270,16,100,19.7226654769569,4.07607954694029,69.1810475907942,3.35093361410473,3.56949542142551
270,16,150,16.3809260086484,6.10972796793391,65.1282602177803,8.64026030633135,3.74082549930607
270,16,200,18.8817010977408,4.83552551216465,69.6161830479117,4.01845426981356,2.6148027390359
500,16,10,25.5522069183327,2.17710437710438,67.8275982787139,1.37710437710438,3.06598604874467
500,16,50,20.5405832787022,2.66141320820732,73.637757821974,0.887819065234637,2.27242662588182
500,16,100,19.734570533674,3.31174815076736,71.4922651508824,2.61909880524141,2.68344336686525
500,16,150,20.2369861537271,4.19313227028251,69.9192358774552,2.91763017072893,2.63849893328973
500,16,200,21.4187053849901,3.7824963570779,69.038781660106,3.85241296211061,1.90760363571546
900,16,10,23.2478615164785,0.212765957446809,74.0789664459877,0,2.46040608008693
900,16,50,24.930977130345,2.3334369678148,70.5463843026163,0.82042180250001,1.32116074910478
900,16,100,23.7760897671379,3.00503845551182,71.1726136519945,0.764684816271869,1.28157330908391
900,16,150,24.8025515094115,3.23118818240088,69.2286160069758,1.62093697520689,1.11670732600485
900,16,200,23.7559025560633,3.06161211555834,70.6339339118082,1.3130094648059,1.23554195176423
1500,16,10,26.2910489859496,0.716447149778734,71.6478697564796,0,1.344634107792
1500,16,50,28.178706833783,1.32538164279879,68.8461385455944,0.300751722072477,1.34902125575132
1500,16,100,26.8747537582749,2.79259257821036,67.7735650148386,0.938747410840706,1.62034123783537
1500,16,150,27.1667769760644,2.4663189381859,67.4718001260454,1.66234499077872,1.23275896892551
1500,16,200,27.1675213112838,2.65154759192929,67.3737614212529,1.34409230417859,1.46307737135544
