"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","NA"
168,16,10,2.64866310160428,11.4674240512263,0,85.8839128471694,0,10
168,16,50,0,0,0,0,100,10
168,16,100,0,0,0,0,100,10
168,16,150,0,0,0,0,100,10
168,16,200,0,0,0,0,100,10
270,16,10,2.03992869875223,15.9825649161936,0,81.9775063850542,0,10
270,16,50,0,0,0,0,100,10
270,16,100,0,0,0,0,100,10
270,16,150,0,0,0,0,100,10
270,16,200,0,0,0,0,100,10
500,16,10,3.01309746035912,20.8899512088153,0,76.0969513308256,0,10
500,16,50,0,0,0,0,100,10
500,16,100,0,0,0,0,100,10
500,16,150,0,0,0,0,100,10
500,16,200,0,0,0,0,100,10
900,16,10,1.88461962930048,18.668355213568,0,79.4470251571315,0,10
900,16,50,0,0,0,0,100,10
900,16,100,0,0,0,0,100,10
900,16,150,0,0,0,0,100,10
900,16,200,0,0,0,0,100,10
1500,16,10,2.91969514337663,23.0166241128433,0,74.0636807437801,0,10
1500,16,50,0,0,0,0,100,10
1500,16,100,0,0,0,0,100,10
1500,16,150,0,0,0,0,100,10
1500,16,200,0,0,0,0,100,10
