20
20
2
3
50
2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
11
16 10 7 13 8 11 3 18 2 15 12 
17
7 9 18 13 10 17 6 8 1 3 4 5 12 20 2 14 15 
1 2 
1 2 3 
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 
0 0 0 0 0 2 0 0 0 2 1 0 0 2 0 0 0 1 0 0 
0 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 2 0 0 
0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 
0 0 0 2 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 
1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 2 0 0 2 1 0 1 0 1 0 0 0 0 0 
0 0 2 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 
2 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 2 3 2 0 0 0 0 3 0 0 0 0 
0 2 3 2 3 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 
0 0 0 2 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 
1 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 
0 2 0 0 0 0 0 0 0 2 0 0 0 3 0 0 0 1 2 1 
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 
0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 
0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 
2 0 0 2 1 0 2 0 0 0 2 0 0 0 0 0 2 0 0 0 
0 0 1 0 0 0 0 3 0 0 1 0 0 1 0 0 1 0 0 0 
0 0 0 0 2 0 1 2 2 0 1 0 0 3 3 0 0 0 1 2 
2 0 0 0 0 3 1 0 1 1 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 
2 1 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 
0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 2 0 0 1 0 
0 0 0 0 0 0 0 0 0 1 0 0 1 3 0 0 0 0 0 0 
1 0 2 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 2 0 
1 0 3 0 0 0 0 1 3 0 1 0 0 0 0 1 0 0 1 0 
0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 
1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 
0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 
2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 
0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 3 
1 1 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 
1 0 1 0 2 0 0 1 1 1 2 0 0 0 1 1 0 1 1 0 
0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 1 0 0 1 
0 1 0 1 0 0 2 1 0 0 0 0 0 1 2 0 0 1 1 0 
0 2 1 0 3 0 0 2 0 0 2 2 0 1 0 1 2 0 1 0 
1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 
0 0 0 1 0 0 1 3 0 0 0 0 0 0 0 0 0 0 2 0 
2 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 2 1 0 0 
0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 1 0 0 0 0 
0 1 2 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0 
1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 
0 0 0 0 1 0 0 1 1 0 0 0 0 2 0 1 0 0 1 0 
0 0 0 1 1 0 1 0 2 0 0 0 0 0 1 0 2 1 0 2 
0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 
1 0 0 0 1 2 0 0 0 0 3 0 0 0 0 0 0 1 2 1 
0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
30 17 42 17 29 16 45 36 43 44 14 34 40 16 42 27 19 25 44 17 
26 39 32 41 13 19 23 12 37 33 41 11 21 41 39 33 10 31 32 39 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
38 9 25 14 27 16 16 15 29 34 43 15 10 32 20 31 20 16 27 32 
15 18 41 34 45 14 12 27 10 20 30 10 27 17 13 27 9 37 21 38 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
13 32 18 35 38 31 24 37 9 31 36 35 38 37 42 28 31 38 16 15 
31 17 21 10 35 27 10 36 34 37 40 33 25 10 13 37 44 13 9 39 
27 24 33 20 24 27 14 31 17 19 31 14 16 34 44 27 40 30 38 41 
29 34 18 32 37 14 32 44 39 19 11 24 38 34 10 39 30 9 13 16 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
28 13 25 30 22 22 11 35 33 31 14 14 15 12 18 40 11 28 34 37 
44 40 13 43 17 28 37 22 21 32 36 23 36 40 33 23 45 43 36 36 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
24 12 15 11 19 11 25 28 13 11 38 29 42 40 43 44 25 18 20 17 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
29 18 30 24 27 24 31 35 21 19 26 28 26 23 16 27 24 19 21 17 
17 26 30 26 34 23 16 26 15 34 26 30 16 25 22 19 15 17 30 15 
29 27 20 35 16 26 28 22 15 15 31 16 21 24 24 20 28 31 29 20 
31 25 22 24 29 33 22 34 34 25 27 28 33 33 19 26 19 32 21 22 
26 31 21 19 18 31 33 16 19 34 31 26 28 33 19 23 31 18 31 28 
26 28 21 18 24 24 16 16 16 24 26 17 20 34 34 17 20 30 16 18 
22 23 21 22 33 34 21 31 25 26 22 19 30 32 22 34 32 21 30 29 
34 23 35 18 28 30 34 32 24 28 25 28 26 23 33 29 24 15 21 34 
31 25 23 16 26 15 26 35 21 19 26 16 17 18 30 24 35 30 22 23 
27 24 15 17 22 19 26 29 25 18 33 26 22 20 30 34 16 34 23 26 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
30 23 21 35 20 25 23 30 35 25 16 29 25 15 15 33 28 33 28 24 
20 17 26 19 25 23 24 35 18 18 18 34 23 32 18 16 33 18 27 27 
19 16 33 23 29 19 25 19 19 30 33 32 15 29 35 20 17 28 19 18 
23 16 34 18 32 31 27 18 27 21 33 34 27 25 26 24 29 29 32 25 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
31 16 31 32 34 34 19 28 22 34 32 18 24 34 16 22 27 32 32 22 
16 34 28 15 26 31 19 30 19 20 22 33 15 29 24 17 17 21 28 20 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
32 34 24 30 21 22 28 33 16 20 26 27 35 25 35 30 23 27 27 35 
