"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage"
168,16,10,13.7712595666237,0,84.515275737153,0,1.71346469622332
168,16,50,13.4855093127103,0,84.0092924098488,0,2.50519827744084
168,16,100,15.1116115320791,0,80.6577309935725,0,4.23065747434843
168,16,150,12.7258145875136,0,83.4835099585783,0,3.79067545390809
168,16,200,13.8087183061716,0,82.9033150248183,0,3.28796666901005
270,16,10,16.9580055975166,0,77.4720597619605,0,5.56993464052288
270,16,50,14.3102439370237,0,82.6853811022907,0,3.00437496068558
270,16,100,15.2369003480761,0,80.7262129261505,0,4.03688672577333
270,16,150,14.7563659818852,0,80.5596422628111,0,4.68399175530371
270,16,200,15.6588551990489,0,81.6638420619152,0,2.6773027390359
500,16,10,23.2666850328108,0,73.6673289184445,0,3.06598604874467
500,16,50,17.8491733757201,0,79.9429161274303,0,2.20791049684956
500,16,100,17.3364464934419,0,79.7308368838789,0,2.9327166226792
500,16,150,17.4619719130629,0,79.7953624869807,0,2.74266559995639
500,16,200,19.3867601662727,0,78.4518756938102,0,2.16136413991714
900,16,10,20.1893384792321,0,77.350255440681,0,2.46040608008693
900,16,50,22.4191154313087,0,76.2597238195865,0,1.32116074910478
900,16,100,22.0865059643154,0,76.6319207266007,0,1.28157330908391
900,16,150,23.0825987965732,0,75.7356532270154,0,1.18174797641135
900,16,200,22.0415015833637,0,76.7229564648721,0,1.23554195176423
1500,16,10,25.6660489859496,0,72.9893169062584,0,1.344634107792
1500,16,50,27.6827168929612,0,70.9682618512875,0,1.34902125575132
1500,16,100,25.3464026327628,0,73.0332561294018,0,1.62034123783537
1500,16,150,25.9314394908346,0,72.7070826574226,0,1.36147785174276
1500,16,200,25.8048272406422,0,72.6725715784786,0,1.52260118087925
